Column 1,Score,Evidence,
"Can you download dependencies using a dependency management tool or package manager? e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,,Can be done using pip
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,https://github.com/mrpudlo/SE_Project1/tree/master/test,
,,,
Q12 - How you test your software,,,
Do you have an automated test suite for your software?,Yes ,https://github.com/mrpudlo/SE_Project1/blob/master/.travis.yml,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes ,,
Are your test results publicly visible?,No,,
Are all manually-run tests documented?,No,,
,,,
Q13 - How you engage with your community,,,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? e.g. release announcements, publications, workshops, conference presentatio",No,,
Does your website state how many projects and users are associated with your project?,No,,
Do you provide success stories on your website?,No,,
Do you list your important partners and collaborators on your website?,No,,Collaborators are listed in the Git Repo but not on the product's website
Do you list your project's publications on your website or link to a resource where these are available?,Yes,https://zenodo.org/record/4042169,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,,
Can users subscribe to notifications to changes to your source code repository?,Yes,,Git lets you subscribe to a pull request
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Yes,https://github.com/mrpudlo/SE_Project1/blob/master/CODE_OF_CONDUCT.md,
,,,
Q14 - How you manage contributions,,,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,,
Do you have a contributions policy?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/CONTRIBUTING.md,
Is your contributions' policy publicly available?,Yes,,
Do contributors keep the copyright/IP of their contributions?,No,https://github.com/mrpudlo/SE_Project1/blob/master/LICENSE,License mentions that the copyright belongs to creator
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/LICENSE,
Does each of your source code files include a copyright statement?,No,,
,,,
Q15 - Your software's copyright and licensing,,,
Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/LICENSE,
Is your software released under an open source licence?,Yes,,MIT License
Is your software released under an OSI-approved open-source licence?,Yes,,
Does each of your source code files include a licence header?,No,,
Do you have a recommended citation for your software?,Yes,https://github.com/mrpudlo/SE_Project1/blob/master/CITATION.md,
,,,
Q16 - Your plans for the future,,,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,https://github.com/mrpudlo/SE_Project1/tree/master#future-scope,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,,
